,Good,Medium,Bad
340,0.326,0.35,0.324
341,0.334,0.344,0.322
342,0.322,0.362,0.316
343,0.354,0.338,0.308
344,0.322,0.366,0.312
345,0.32,0.356,0.324
346,0.346,0.34,0.314
347,0.334,0.342,0.324
348,0.356,0.33,0.314
349,0.33,0.366,0.304
350,0.33,0.342,0.328
351,0.33,0.354,0.316
352,0.346,0.332,0.322
353,0.356,0.298,0.346
354,0.366,0.34,0.294
355,0.33,0.35,0.32
356,0.334,0.344,0.322
357,0.34,0.344,0.316
358,0.324,0.34,0.336
359,0.348,0.326,0.326
360,0.35,0.36,0.29
361,0.346,0.338,0.316
362,0.346,0.342,0.312
363,0.416,0.26,0.324
364,0.354,0.364,0.282
365,0.348,0.342,0.31
366,0.338,0.342,0.32
367,0.338,0.37,0.292
368,0.326,0.342,0.332
369,0.328,0.348,0.324
370,0.35,0.322,0.328
371,0.364,0.326,0.31
372,0.362,0.338,0.3
373,0.354,0.35,0.296
374,0.346,0.344,0.31
375,0.344,0.356,0.3
376,0.342,0.322,0.336
377,0.34,0.37,0.29
378,0.34,0.332,0.328
379,0.348,0.338,0.314
380,0.334,0.368,0.298
381,0.342,0.34,0.318
382,0.324,0.344,0.332
383,0.338,0.348,0.314
384,0.344,0.348,0.308
385,0.348,0.324,0.328
386,0.43,0.236,0.334
387,0.334,0.33,0.336
388,0.352,0.338,0.31
389,0.334,0.34,0.326
390,0.422,0.242,0.336
391,0.354,0.34,0.306
392,0.344,0.336,0.32
393,0.33,0.314,0.356
394,0.324,0.346,0.33
395,0.344,0.356,0.3
396,0.322,0.356,0.322
397,0.366,0.344,0.29
398,0.324,0.352,0.324
399,0.434,0.234,0.332
400,0.346,0.34,0.314
401,0.34,0.33,0.33
402,0.424,0.236,0.34
403,0.422,0.236,0.342
404,0.328,0.364,0.308
405,0.334,0.326,0.34
406,0.416,0.24,0.344
407,0.326,0.35,0.324
408,0.34,0.336,0.324
409,0.322,0.328,0.35
410,0.33,0.328,0.342
411,0.334,0.362,0.304
412,0.328,0.344,0.328
413,0.416,0.25,0.334
414,0.342,0.352,0.306
415,0.416,0.25,0.334
416,0.334,0.35,0.316
417,0.342,0.3,0.358
418,0.344,0.338,0.318
419,0.324,0.358,0.318
420,0.348,0.348,0.304
421,0.334,0.326,0.34
422,0.416,0.24,0.344
423,0.422,0.242,0.336
424,0.332,0.348,0.32
425,0.336,0.342,0.322
426,0.326,0.366,0.308
427,0.35,0.328,0.322
428,0.342,0.35,0.308
429,0.314,0.354,0.332
430,0.36,0.31,0.33
431,0.332,0.302,0.366
432,0.328,0.336,0.336
433,0.326,0.372,0.302
434,0.332,0.346,0.322
435,0.332,0.35,0.318
436,0.346,0.346,0.308
437,0.342,0.358,0.3
438,0.334,0.342,0.324
439,0.34,0.314,0.346
440,0.314,0.354,0.332
441,0.33,0.392,0.278
442,0.326,0.34,0.334
443,0.416,0.248,0.336
444,0.342,0.344,0.314
445,0.362,0.344,0.294
446,0.314,0.37,0.316
447,0.344,0.326,0.33
448,0.33,0.342,0.328
449,0.328,0.342,0.33
450,0.316,0.362,0.322
451,0.318,0.35,0.332
452,0.332,0.354,0.314
453,0.332,0.316,0.352
454,0.332,0.366,0.302
455,0.408,0.248,0.344
456,0.33,0.342,0.328
457,0.302,0.388,0.31
458,0.41,0.248,0.342
459,0.318,0.352,0.33
460,0.312,0.362,0.326
461,0.308,0.384,0.308
462,0.316,0.366,0.318
463,0.3,0.378,0.322
464,0.314,0.372,0.314
465,0.316,0.376,0.308
466,0.322,0.348,0.33
467,0.308,0.382,0.31
468,0.33,0.334,0.336
469,0.304,0.372,0.324
470,0.34,0.314,0.346
471,0.322,0.334,0.344
472,0.31,0.358,0.332
473,0.31,0.334,0.356
474,0.31,0.354,0.336
475,0.316,0.382,0.302
476,0.338,0.308,0.354
477,0.338,0.32,0.342
478,0.334,0.338,0.328
479,0.32,0.368,0.312
480,0.308,0.338,0.354
481,0.322,0.34,0.338
482,0.31,0.326,0.364
483,0.304,0.386,0.31
484,0.314,0.34,0.346
485,0.322,0.36,0.318
486,0.32,0.334,0.346
487,0.336,0.35,0.314
488,0.308,0.346,0.346
489,0.324,0.366,0.31
490,0.336,0.348,0.316
491,0.302,0.35,0.348
492,0.288,0.358,0.354
493,0.312,0.368,0.32
494,0.32,0.358,0.322
495,0.316,0.348,0.336
496,0.328,0.35,0.322
497,0.318,0.384,0.298
498,0.328,0.376,0.296
499,0.324,0.372,0.304
