206,0.145,0.10394,0.0832,0.09375,0.1222,0.11365,0.08936,0.1082,0.1407
207,0.1467,0.1105,0.11615,0.0981,0.09784,0.1188,0.106,0.11115,0.0948
208,0.175,0.1528,0.1015,0.1587,0.08167,0.0782,0.098,0.08167,0.0723
209,0.1504,0.1076,0.095,0.1075,0.1062,0.1043,0.1109,0.09625,0.12195
210,0.1781,0.12024,0.10626,0.1133,0.09985,0.094,0.10626,0.08813,0.094
211,0.1567,0.09393,0.10626,0.10956,0.10834,0.1037,0.09344,0.10565,0.1224
212,0.1392,0.0985,0.1062,0.1009,0.1131,0.1041,0.1155,0.09644,0.1262
213,0.174,0.10455,0.0973,0.111,0.10657,0.1078,0.09,0.0981,0.1106
214,0.1646,0.1104,0.0971,0.1104,0.0845,0.10706,0.1169,0.08,0.129
215,0.1526,0.0928,0.1005,0.118,0.0936,0.109,0.10126,0.10175,0.1304
216,0.1538,0.11,0.10693,0.10486,0.0956,0.0942,0.1086,0.0998,0.1262
217,0.1588,0.1103,0.0879,0.1226,0.106,0.10187,0.0868,0.1023,0.12335
218,0.1691,0.11914,0.08856,0.121,0.0747,0.101,0.09186,0.0931,0.1417
219,0.144,0.11273,0.12054,0.10986,0.0708,0.105,0.1131,0.08624,0.1376
220,0.163,0.1029,0.0966,0.11505,0.1136,0.0969,0.09216,0.1053,0.1145
221,0.1688,0.08997,0.0979,0.09235,0.1248,0.09955,0.0895,0.10364,0.1334
222,0.1489,0.11884,0.0927,0.09515,0.0877,0.111,0.0964,0.0937,0.1555
223,0.1653,0.1103,0.08655,0.11847,0.1146,0.0989,0.0883,0.09796,0.1196
224,0.1533,0.0935,0.10834,0.0996,0.0851,0.1181,0.1037,0.10785,0.1306
225,0.1628,0.0985,0.1071,0.09064,0.0983,0.1074,0.106,0.1047,0.1244
226,0.1525,0.10315,0.1117,0.11316,0.11194,0.1058,0.1061,0.07465,0.1211
227,0.1893,0.152,0.1218,0.1302,0.0977,0.07477,0.0965,0.07117,0.06635
228,0.1559,0.09753,0.09863,0.0804,0.0797,0.1188,0.111,0.10284,0.1553
229,0.1464,0.0916,0.0995,0.1018,0.1262,0.1284,0.08466,0.1011,0.1205
230,0.1647,0.1075,0.0817,0.1004,0.11096,0.0971,0.0861,0.09564,0.1559
231,0.1937,0.1526,0.0932,0.1428,0.09686,0.07745,0.10657,0.08716,0.04962
232,0.1768,0.0937,0.09735,0.0945,0.1197,0.1155,0.0783,0.09814,0.1261
233,0.1942,0.1534,0.1128,0.129,0.0814,0.0826,0.10815,0.0779,0.06046
234,0.1799,0.11884,0.11725,0.0962,0.1025,0.09814,0.1091,0.09973,0.0783
235,0.1552,0.09607,0.1086,0.1039,0.11145,0.0999,0.10675,0.09625,0.122
236,0.1387,0.11,0.1075,0.1213,0.1029,0.08704,0.1162,0.0838,0.1326
237,0.1586,0.1342,0.1027,0.1164,0.1057,0.09143,0.1027,0.0956,0.09265
238,0.1808,0.0995,0.1075,0.0781,0.10504,0.1002,0.1116,0.0946,0.12274
239,0.1898,0.145,0.11505,0.1404,0.107,0.0759,0.10815,0.0668,0.0518
240,0.1749,0.1346,0.1121,0.12067,0.0951,0.1042,0.09326,0.09143,0.0737
241,0.1644,0.108,0.1041,0.106,0.1179,0.0941,0.1003,0.0991,0.106
